datetime,PS
2025-07-29 00:00:00,101.17
2025-07-29 01:00:00,101.19
2025-07-29 02:00:00,101.21
2025-07-29 03:00:00,101.19
2025-07-29 04:00:00,101.16
2025-07-29 05:00:00,101.15
2025-07-29 06:00:00,101.17
2025-07-29 07:00:00,101.2
2025-07-29 08:00:00,101.25
2025-07-29 09:00:00,101.27
2025-07-29 10:00:00,101.28
2025-07-29 11:00:00,101.29
2025-07-29 12:00:00,101.31
2025-07-29 13:00:00,101.34
2025-07-29 14:00:00,101.36
2025-07-29 15:00:00,101.34
2025-07-29 16:00:00,101.33
2025-07-29 17:00:00,101.34
2025-07-29 18:00:00,101.34
2025-07-29 19:00:00,101.37
2025-07-29 20:00:00,101.4
2025-07-29 21:00:00,101.43
2025-07-29 22:00:00,101.46
2025-07-29 23:00:00,101.46
