datetime,T2M
2025-07-29 00:00:00,6.21
2025-07-29 01:00:00,6.11
2025-07-29 02:00:00,6.13
2025-07-29 03:00:00,6.25
2025-07-29 04:00:00,6.33
2025-07-29 05:00:00,6.38
2025-07-29 06:00:00,6.44
2025-07-29 07:00:00,6.51
2025-07-29 08:00:00,6.63
2025-07-29 09:00:00,6.77
2025-07-29 10:00:00,6.87
2025-07-29 11:00:00,7.01
2025-07-29 12:00:00,7.26
2025-07-29 13:00:00,7.61
2025-07-29 14:00:00,7.89
2025-07-29 15:00:00,8.07
2025-07-29 16:00:00,8.22
2025-07-29 17:00:00,8.34
2025-07-29 18:00:00,8.41
2025-07-29 19:00:00,8.43
2025-07-29 20:00:00,8.42
2025-07-29 21:00:00,8.34
2025-07-29 22:00:00,8.27
2025-07-29 23:00:00,8.19
