datetime,WS2M
2025-07-29 00:00:00,2.1
2025-07-29 01:00:00,1.99
2025-07-29 02:00:00,1.76
2025-07-29 03:00:00,1.38
2025-07-29 04:00:00,0.84
2025-07-29 05:00:00,0.18
2025-07-29 06:00:00,0.31
2025-07-29 07:00:00,0.88
2025-07-29 08:00:00,1.55
2025-07-29 09:00:00,1.63
2025-07-29 10:00:00,1.62
2025-07-29 11:00:00,1.93
2025-07-29 12:00:00,2.39
2025-07-29 13:00:00,2.73
2025-07-29 14:00:00,2.97
2025-07-29 15:00:00,3.05
2025-07-29 16:00:00,3.08
2025-07-29 17:00:00,3.13
2025-07-29 18:00:00,3.22
2025-07-29 19:00:00,3.29
2025-07-29 20:00:00,3.41
2025-07-29 21:00:00,3.6
2025-07-29 22:00:00,3.78
2025-07-29 23:00:00,3.81
