,datetime,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,TOA_SW_DWN,RH2M,QV2M,PS,WS2M,CLOUD_AMT,ALLSKY_SFC_LW_DWN,T2M
0,2024-07-31 00:00:00,0.0,0.0,0.0,0.0,97.44,18.08,93.55,3.71,99.93,415.5,22.7
1,2024-07-31 01:00:00,0.0,0.0,0.0,0.0,97.41,18.05,93.51,3.76,100.0,414.02,22.67
2,2024-07-31 02:00:00,0.0,0.0,0.0,0.0,97.73,17.95,93.48,3.22,99.84,415.48,22.52
3,2024-07-31 03:00:00,0.0,0.0,0.0,0.0,97.69,17.82,93.48,3.05,99.97,416.2,22.41
4,2024-07-31 04:00:00,0.0,0.0,0.0,0.0,97.74,17.76,93.5,3.09,100.0,417.15,22.35
5,2024-07-31 05:00:00,0.0,0.0,0.0,0.0,97.72,17.76,93.54,3.02,100.0,414.02,22.36
6,2024-07-31 06:00:00,27.23,26.83,0.0,228.7,96.94,18.23,93.61,3.4,100.0,424.48,22.93
7,2024-07-31 07:00:00,77.38,66.66,0.0,524.7,94.79,18.79,93.68,4.38,100.0,429.35,23.81
8,2024-07-31 08:00:00,134.98,110.04,2.93,800.97,91.54,19.24,93.73,5.05,99.59,434.85,24.79
9,2024-07-31 09:00:00,229.52,145.41,9.72,1031.57,88.1,19.75,93.74,5.4,98.4,437.05,25.87
10,2024-07-31 10:00:00,360.25,210.09,25.12,1200.8,85.35,20.01,93.7,5.61,96.63,441.35,26.62
11,2024-07-31 11:00:00,364.67,229.6,18.78,1297.07,83.68,20.16,93.64,5.8,98.14,439.15,27.07
12,2024-07-31 12:00:00,310.73,222.25,6.98,1313.82,83.1,20.15,93.57,5.92,99.4,442.02,27.17
13,2024-07-31 13:00:00,369.33,223.73,15.46,1249.93,83.28,20.05,93.52,5.89,97.86,443.45,27.04
14,2024-07-31 14:00:00,311.2,225.53,31.32,1109.7,84.06,19.9,93.49,5.75,99.53,442.33,26.75
15,2024-07-31 15:00:00,237.65,170.29,6.16,902.7,85.3,19.75,93.47,5.61,98.79,437.58,26.37
16,2024-07-31 16:00:00,142.35,117.24,1.81,643.0,88.66,19.66,93.47,5.23,99.67,435.38,25.64
17,2024-07-31 17:00:00,67.4,58.21,3.73,348.3,93.77,19.63,93.51,4.48,98.3,428.42,24.68
18,2024-07-31 18:00:00,7.0,9.22,0.0,60.53,96.61,19.49,93.54,3.82,98.6,427.12,24.07
19,2024-07-31 19:00:00,0.0,0.0,0.0,0.0,97.06,19.36,93.58,3.78,99.61,418.23,23.89
20,2024-07-31 20:00:00,0.0,0.0,0.0,0.0,97.33,19.31,93.64,3.5,99.58,418.2,23.81
21,2024-07-31 21:00:00,0.0,0.0,0.0,0.0,97.23,19.19,93.67,3.74,99.6,417.88,23.73
22,2024-07-31 22:00:00,0.0,0.0,0.0,0.0,97.14,19.05,93.63,4.23,99.61,417.77,23.62
23,2024-07-31 23:00:00,0.0,0.0,0.0,0.0,97.22,18.95,93.58,4.34,99.7,412.9,23.51
24,2024-08-01 00:00:00,0.0,0.0,0.0,0.0,97.19,18.85,93.53,4.14,99.93,418.5,23.42
25,2024-08-01 01:00:00,0.0,0.0,0.0,0.0,97.43,18.79,93.49,3.94,100.0,416.95,23.32
26,2024-08-01 02:00:00,0.0,0.0,0.0,0.0,97.48,18.75,93.46,3.83,99.81,419.33,23.27
27,2024-08-01 03:00:00,0.0,0.0,0.0,0.0,97.48,18.73,93.44,3.75,99.93,418.4,23.25
28,2024-08-01 04:00:00,0.0,0.0,0.0,0.0,97.54,18.72,93.43,3.76,99.98,416.9,23.23
29,2024-08-01 05:00:00,0.0,0.0,0.0,0.0,97.47,18.69,93.45,3.82,99.96,412.15,23.22
30,2024-08-01 06:00:00,38.12,37.57,0.0,227.23,96.83,18.98,93.5,4.15,100.0,423.23,23.59
31,2024-08-01 07:00:00,111.35,95.93,0.0,524.17,94.5,19.24,93.57,5.28,100.0,427.92,24.23
32,2024-08-01 08:00:00,202.3,142.89,10.44,801.0,91.13,19.23,93.63,6.15,98.55,430.77,24.84
33,2024-08-01 09:00:00,299.02,224.77,2.82,1032.03,88.08,19.35,93.66,6.62,99.69,430.2,25.52
34,2024-08-01 10:00:00,378.9,273.98,0.92,1201.53,87.13,19.43,93.65,6.78,99.93,431.02,25.77
35,2024-08-01 11:00:00,469.3,296.63,18.47,1297.93,86.58,19.34,93.6,6.84,98.52,427.52,25.79
36,2024-08-01 12:00:00,526.38,377.43,7.08,1314.65,87.15,19.33,93.54,6.79,100.0,430.02,25.66
37,2024-08-01 13:00:00,425.17,291.94,42.87,1250.53,88.47,19.37,93.48,6.69,100.0,432.95,25.43
38,2024-08-01 14:00:00,364.08,271.09,1.94,1109.93,88.57,19.32,93.44,6.66,100.0,432.95,25.36
39,2024-08-01 15:00:00,272.7,204.33,52.59,902.42,90.6,19.23,93.42,6.46,99.98,431.4,24.9
40,2024-08-01 16:00:00,158.23,127.61,31.54,642.12,93.42,19.09,93.44,5.96,99.4,430.9,24.27
41,2024-08-01 17:00:00,67.05,57.78,6.96,346.77,95.89,19.03,93.48,5.13,98.32,424.6,23.79
